instance_id,brand,cpu_brand,cpu_model,cpu_type,cpu_frequency,ram_capacity,ram_type,ram_frequency,hdd_capacity,ssd_capacity,weight,dimensions,title
source1__112,Acer,"Intel. unknown. Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium","Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium","unknown. Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium","0 Mhz. Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium","Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium. 0 Mb","Acer Aspire 5742-6838 15.6 '' Notebook with Core i5-460M , 4GB RAM , 640GB HD , Win 7 Home Premium. unknown",,0 Gb,,,,"Acer Aspire 5742-6838 15.6"" Notebook on sale for $838.43"
source1__99,Asus,"Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7","Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7","Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7","Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7","Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7","Asus UX31A-XB52 13.3 '' Laptop with Core i5 , 4GB RAM , 256GB SSD HD , Windows 7",,,,,,"Asus UX31A-XB52 13.3"" Laptop on sale for $1414.95"
source1__78,Hewlett-Packard,"HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1","HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1","HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1","HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1","HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1","HP 15-g070nr 15.6 '' Laptop with 4GB RAM , 500GB Hard Drive , Windows 8.1",,,,,,"HP 15-g070nr 15.6"" Laptop on sale for $229.00"
source1__93,Asus,"Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )","Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )","Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )","Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )","Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )","Asus Zenbook Prime UX31A 13.3 Ultrabook with Intel Core i5-3317U , 128GB SSD , 4GB RAM , Windows 7 ( # UX31A-R5102H )",,,,,,Asus Zenbook Prime UX31A 13.3 Ultrabook on sale for $749.99
source6__885,"Acer. Acer , Inc",Intel,i3-3227U,i3-3227U. Core i3,1.90 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,4.30 lb,9.6 ''. 0.8 '',"Acer Aspire M5-481T-33226G52Mtss 14"" LED Ultrabook - Intel Core i3 i3-3227U 1.90 GHz - NXM26AA009 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1135,"Acer. Acer , Inc",Intel,2020M,2020M. Pentium,2.40 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,7.05 lb,10.8 ''. 1.4 ''. 1.22 ''. 1.36 '',"Acer Aspire E1-731-20204G50Mnii 17.3"" LED Notebook - Intel Pentium 2020M 2.40 GHz - NXMGAAA004 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1200,"Acer. Acer , Inc",Intel,i3-3229Y,i3-3229Y. Core i3,1.40 GHz,,DDR3 SDRAM. DDR3 SDRAM,,,,1.74 lb,11.6 ''. 0.4 ''. 0.39 ''. 0.40 '',"Acer Aspire P3-171-3322Y4G12as Ultrabook/Tablet - 11.6"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i3 i3-3229Y 1.40 GHz - NXM8NAA003 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__956,"Acer. Acer , Inc",AMD,E1-2100,E1-2100. E-Series,1 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,2.65 lb,8 ''. 0.9 ''. 0.93 ''. 1.08 '',"Acer Aspire V5-123-12104G50nrr 11.6"" LED (ComfyView) Notebook - AMD E-Series E1-2100 1 GHz - Red - NXML2AA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__718,"Acer. Acer , Inc",Intel,2957U,2957U. Celeron,1.40 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.18 lb,10.1 ''. 1 ''. 0.48 ''. 1 '',"Acer Aspire E1-532-29574G50Mnkk 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - Black - NXMFVAA006 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__985,"Acer. Acer , Inc",Intel,i7-4702MQ,i7-4702MQ. Core i7,2.20 GHz,,DDR3L SDRAM,,1 TB,,7.05 lb,10.8 ''. 1.4 ''. 1.22 ''. 1.36 '',"Acer Aspire V3-772G-747a121.12TBDCckk 17.3"" LED (ComfyView) Notebook - Intel Core i7 i7-4702MQ 2.20 GHz - Black - NXM8SAA004 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__827,"Acer. Acer , Inc",Intel,2957U,2957U. Celeron,1.40 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.18 lb,10.1 ''. 1 ''. 0.48 ''. 1 '',"Acer Aspire E1-532-29574G50Mnrr 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - Red - NXMHGAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1516,"Acer. Acer , Inc",AMD,E1-2100,E1-2100. E-Series,1 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,2.65 lb,8 ''. 0.9 ''. 0.93 ''. 1.08 '',"Acer Aspire V5-123-12104G50nkk 11.6"" LED (ComfyView) Notebook - AMD E-Series E1-2100 1 GHz - Black - NXMFQAA005 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1396,"Acer. Acer , Inc",Intel,i3-4010U,i3-4010U. Core i3,1.70 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.18 lb,10.1 ''. 1 '',"Acer Aspire E1-572-34014G50Mnkk 15.6"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Black - NXM8EAA007 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__835,"Acer. Acer , Inc",AMD,A4-5000,A4-5000. A-Series,1.50 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.29 lb,10.1 ''. 1 ''. 0.53 ''. 1 '',"Acer Aspire E1-522-45004G50Mnkk 15.6"" LED Notebook - AMD A-Series A4-5000 1.50 GHz - Black - NXM81AA025 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1394,"Acer. Acer , Inc",Intel,i3-3110M,i3-3110M. Core i3,2.40 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,7.05 lb,10.8 ''. 1.4 ''. 1.22 ''. 1.36 '',"Acer Aspire E1-771-33116G50Mnii 17.3"" LED Notebook - Intel Core i3 i3-3110M 2.40 GHz - NXMG7AA006 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__978,HP. Hewlett-Packard,Intel,i5-4310U,i5-4310U. Core i5,2 GHz,,DDR3 SDRAM. DDR3L-1600/PC3-12800. DDR3L SDRAM,DDR3L-1600/PC3-12800,,,3.09 lb,8.3 ''. 0.9 '',"HP EliteBook Revolve 810 G2 Tablet PC - 11.6"" - Wireless LAN - Intel Core i5 i5-4310U 2 GHz - J8U39UTABA - Laptops & Notebooks - HEWLETT-PACKARD Laptops & Notebooks - TheNerds.net"
source6__1434,"Acer. Acer , Inc",Intel,2957U,2957U. Celeron,1.40 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.51 lb,10.1 ''. 1.2 ''. 0.96 ''. 1.19 '',"Acer Aspire E5-531-C7Y7 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - Blue - NXMS8AA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1246,"Acer. Acer , Inc",Intel,N3530,N3530. Pentium,2.16 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,3.06 lb,8.3 ''. 0.9 ''. 0.85 ''. 0.85 '',"Acer Aspire V3-111P-43BC 11.6"" Touchscreen LED Notebook - Intel Pentium N3530 2.16 GHz - NXMP0AA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1221,"Acer. Acer , Inc",Intel,2957U,2957U. Celeron,1.40 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.51 lb,10.1 ''. 1.2 ''. 0.96 ''. 1.19 '',"Acer Aspire E5-531-C01E 15.6"" LED Notebook - Intel Celeron 2957U 1.40 GHz - NXMLVAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1420,"Acer. Acer , Inc",Intel,i5-4200U,i5-4200U. Core i5,1.60 GHz,,DDR3 SDRAM. DDR3L SDRAM,,1 TB,,4.85 lb,10.1 ''. 0.9 ''. 0.79 ''. 0.90 '',"Acer Aspire V5-573P-54208G1Tarr 15.6"" Touchscreen LED Notebook - Intel Core i5 i5-4200U 1.60 GHz - Red - NXME3AA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__862,"Acer. Acer , Inc",Intel,i5-4200U,i5-4200U. Core i5,1.60 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.18 lb,10.1 ''. 1 '',"Acer Aspire E1-572-54204G50Mnrr 15.6"" LED Notebook - Intel Core i5 i5-4200U 1.60 GHz - Red - NXMHFAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1181,"Acer. Acer , Inc",Intel,1005M,1005M. Celeron,1.90 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,7.05 lb,10.8 ''. 1.4 ''. 1.22 ''. 1.36 '',"Acer Aspire E1-731-10054G50Mnii 17.3"" LED Notebook - Intel Celeron 1005M 1.90 GHz - NXMGAAA003 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1073,"Acer. Acer , Inc",Intel,N2930,N2930. Celeron,1.83 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,3.06 lb,8.3 ''. 0.9 ''. 0.85 ''. 0.85 '',"Acer Aspire V3-111P-C6LC 11.6"" Touchscreen LED Notebook - Intel Celeron N2930 1.83 GHz - NXMP0AA006 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__922,"Acer. Acer , Inc",Intel,i5-4200U,i5-4200U. Core i5,1.60 GHz,,DDR3 SDRAM. DDR3L SDRAM,,1 TB,,4.85 lb,10.1 ''. 0.9 ''. 0.79 ''. 0.90 '',"Acer Aspire V5-573P-54208G1Taii 15.6"" Touchscreen LED Notebook - Intel Core i5 i5-4200U 1.60 GHz - NXMBYAA013 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1265,"Acer. Acer , Inc",Intel,i5-3230M,i5-3230M. Core i5,2.60 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,7.05 lb,10.8 ''. 1.4 ''. 1.22 ''. 1.36 '',"Acer Aspire E1-771-53236G50Mnii 17.3"" LED Notebook - Intel Core i5 i5-3230M 2.60 GHz - NXMG7AA005 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1290,"Acer. Acer , Inc",Intel,1019Y,1019Y. Celeron,1 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,3.04 lb,8.1 ''. 0.8 ''. 0.77 ''. 0.83 '',"Acer Aspire V5-132P-10194G50nss 11.6"" Touchscreen LED Notebook - Intel Celeron 1019Y 1 GHz - Silver - NXMDRAA001 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1254,"Acer. Acer , Inc",AMD,A4-6210,A4-6210. A-Series,1.80 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.51 lb,10.1 ''. 1.2 ''. 1 ''. 1.19 '',"Acer Aspire E5-521-435W 15.6"" LED Notebook - AMD A-Series A4-6210 1.80 GHz - Black - NXMLFAA010 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1575,"Acer. Acer , Inc",Intel,i5-3337U,i5-3337U. Core i5,1.80 GHz,,DDR3 SDRAM. DDR3 SDRAM,,500 GB,,4.63 lb,9.6 ''. 0.9 '',"Acer Aspire M5-481PT-53336G52Mass 14"" Touchscreen LED Ultrabook - Intel Core i5 i5-3337U 1.80 GHz - NXM3WAA007 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source6__1129,"Acer. Acer , Inc",Intel,i3-4010U,i3-4010U. Core i3,1.70 GHz,,DDR3 SDRAM. DDR3L SDRAM,,500 GB,,5.18 lb,10.1 ''. 1 '',"Acer Aspire E1-572-34014G50Mnrr 15.6"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Red - NXMHFAA002 - Laptops & Notebooks - ACER Laptops & Notebooks - TheNerds.net"
source14__357,HP,1.7 GHz Core i3-4005U. Intel,1.7 GHz Core i3-4005U,1.7 GHz Core i3-4005U. Intel,1.7 GHz Core i3-4005U,4 GB DDR3L SDRAM,4 GB DDR3L SDRAM,,750 GB,,5.3 pounds,10.20 x 140.88 x 1.01 inches,"Amazon.com : HP 15-r150nr 15.6-Inch Laptop (Core i3-4005U, 4GB RAM, 750GB HD, Windows 8.1) : Computers & Accessories"
source14__1396,HP,2.4 GHz Core i3-3110M. Intel Core i3,2.4 GHz Core i3-3110M,2.4 GHz Core i3-3110M. Intel Core i3,2.4 GHz Core i3-3110M,4 GB DDR3L SDRAM,DDR3 SDRAM. 4 GB DDR3L SDRAM,,500 GB,,5 pounds,10.20 x 14.88 x 1.11 inches,"Amazon.com : HP 15-d090nr 15.6"" Laptop (Windows 7) : Computers & Accessories"
source14__1647,,Intel Core i3,Intel Core i3,Intel Core i3,Intel Core i3,4 GB ddr3,4 GB ddr3,,128 GB,,,,Amazon.com : HP Elitebook Revolve 810 D3K52UT 11.6 LED Ultrabook Intel Core i3-3227U 1.9GHz 4GB DDR3 128GB SSD Windows 7 Professional : Laptop Computers : Computers & Accessories
source14__1961,,Intel Core i3,Intel Core i3,Intel Core i3,Intel Core i3,4 GB,4 GB,,120 GB,,,,"Amazon.com : Brand New Acer Consumer Acer Aspire P3-171-3322Y4g12as Ultrabook/Tablet - 11.6"" - In-Plane Switching (Ips) Technology - Wireless Lan - Intel Core I3 I3-3229Y 1.40 Ghz : Computers & Accessories"
source4__92,,Intel i7. Intel i7,,Intel i7. Intel i7,2 to 2.9 GHz,4. 4GB,DDR3,DDR3,320GB. 5400,,,,"Refurbished HP 8540W 15.5"", 320GB Hard Drive, 4GB Memory, Intel Core i7, Win 7 Pro | Staples®"
source4__121,,Intel i7. Intel i7,,Intel i7. Intel i7,2 to 2.9 GHz,4. 4GB,DDR3,DDR3,320GB. 5400,,,,"Refurbished HP 8540W 15.5"", 320GB Hard Drive, 4GB Memory, Intel Core i7, Win 7 Pro | Staples®"
source3__1518,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X201 31139BF 12.1"" LED Tablet PC - Core i5 i5-520M 2.4GHz - Black 1280 x 800 WXGA Display - 2 GB RAM - 160 GB HDD - Intel Graphics Media Accelerator HD - Bluetooth - Webcam - Finger Pr (31139BF)"
source3__1215,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X120e 06112EU 11.6"" LED Notebook E-350 1.6GHz - Matte Black 1366 x 768 WXGA Display - 4 GB RAM - 320 GB HDD - AMD Radeon HD 6310 - Bluetooth - Webcam - Windows 7 Professional - 6 Hour (06112EU)"
source3__1465,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X201 362613F 12.1"" LED Notebook - Core i5 i5-520M 2.4GHz - Black 1280 x 800 WXGA Display - 2 GB RAM - 160 GB HDD - Intel Graphics Media Accelerator HD - Bluetooth - Webcam - Finger Pri (362613F)"
source3__2492,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X120e 061129F 11.6"" LED Notebook E-240 1.5GHz - Matte Black - 1366 x 768 WXGA Display - 2 GB RAM - 320 GB HDD - AMD Radeon HD 6310 - Bluetooth - Webcam - Windows 7 Professional - 6 Hou (061129F)"
source3__1488,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X120e 06112DU 11.6"" LED Notebook E-240 1.5GHz - Matte Black 1366 x 768 WXGA Display - 2 GB RAM - 320 GB HDD - AMD Radeon HD 6310 - Webcam - Windows 7 Professional - 6 Hour Battery - HD (06112DU)"
source3__547,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X130e 233927F 11.6"" LED Notebook - Intel - Core i3 i3-2367M 1.4GHz - Matte Black 1366 x 768 WXGA Display - 2 GB RAM - 320 GB HDD - Intel HD 3000 Graphics Card - Bluetooth - Webcam - Ge (233927F)"
source3__886,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X230 2320A3F 12.5"" LED Notebook - Intel - Core i5 i5-3210M 2.5GHz - Black 1366 x 768 HD Display - 4 GB RAM - 500 GB HDD - Intel HD 4000 Graphics Card - Bluetooth - Webcam - Finger Prin (2320A3F)"
source3__884,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X130e 23382JU 11.6"" LED Notebook - Celeron 867 1.3GHz - Midnight Black - 1366 x 768 HD Display - 4 GB RAM - 128 GB SSD - Intel Graphics Media Accelerator HD Graphics Card - Bluetooth (23382JU)"
source3__976,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad 3448C5U 14"" LED Ultrabook - Intel Core i7 i7-3667U 2 GHz - Black - 1600 x 900 HD+ Display - 8 GB RAM - 128 GB SSD - Intel HD 4000 Graphics - Bluetooth - Webcam - Finger Print Reader (3448C5U)"
source3__99,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X130e 06222LF 11.6"" LED Notebook - AMD - E-Series E-300 1.3GHz - Midnight Black 1366 x 768 HD Display - 2 GB RAM - 320 GB HDD - AMD Radeon HD 6310 Graphics Card - Bluetooth - Webcam (06222LF)"
source3__698,,,,,,,,,,,,,"Miniprice.ca - Acer Aspire S7-392-54218G25tws 13.3"" Touchscreen LED Ultrabook - Intel Core i5 i5-4210U 1.70 GHz - 8 GB RAM - 256 GB SSD - Intel - Windows 8.1 64-bit - 2560 x 1440 Display - Bluetooth (NX.MBKAA.032)"
source3__2058,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X130e 23382JF 11.6"" LED Notebook - Celeron 867 1.3GHz - Midnight Black - 1366 x 768 HD Display - 4 GB RAM - 128 GB SSD - Intel Graphics Media Accelerator HD Graphics Card - Bluetooth (23382JF)"
source3__503,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X120e 061129U 11.6"" LED Notebook E-240 1.5GHz - Matte Black 1366 x 768 WXGA Display - 2 GB RAM - 320 GB HDD - AMD Radeon HD 6310 - Bluetooth - Webcam - Windows 7 Professional - 6 Hour (061129U)"
source3__1221,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X201 3249C2F 12.1"" LED Notebook - Core i5 i5-520M 2.4GHz - Black 1280 x 800 WXGA Display - 2 GB RAM - 160 GB HDD - Intel Graphics Media Accelerator HD - Webcam - Finger Print Reader (3249C2F)"
source3__1910,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X201 3626PVU 12.1"" LED Notebook - Core i5 i5-560M 2.66GHz - Black 1280 x 800 WXGA Display - 2 GB RAM - 320 GB HDD - Intel Graphics Media Accelerator HD - Bluetooth - Finger Print Reade (3626PVU)"
source3__824,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X230 34355AF Tablet PC - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i5 i5-3320M 2.60 GHz - Black - 4 GB RAM - 180 GB SSD - Windows 7 Professional 64-bit (34355AF-DDO)"
source3__770,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X201 3249C3F 12.1"" LED Notebook - Core i5 i5-520M 2.4GHz - Black 1280 x 800 WXGA Display - 2 GB RAM - 320 GB HDD - Intel Graphics Media Accelerator HD - Webcam - Finger Print Reader (3249C3F)"
source3__2556,,,,,,,,,,,,,"Miniprice.ca - Lenovo ThinkPad X230 34352SF Tablet PC - 12.5"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Core i7 i7-3520M 2.90 GHz - Black - 4 GB RAM - 320 GB HDD - Windows 7 Professional 64-bit (34352SF-DDO)"
source8__178,Acer,1 GHz AMD A Series. AMD A-Series,,1 GHz AMD A Series,1 GHz AMD A Series,4 GB DDR3,DDR3 SDRAM. 4 GB DDR3,,500 GB mechanical_hard_drive,,3 pounds. 4.8 pounds ( View shipping rates and policies ),11.38 x 8.11 x 0.83 inches,"Amazon.com : Acer Aspire V5-122P-0857 12-Inch Touchscreen Laptop (1 GHz A4-1250 A-Series processor, 4GB Ram, 500GB Hard Drive) Chill Silver : Laptop Computers : Computers & Accessories"
source8__1535,HP,1.30 GHz Intel Core i7. Intel,,1.30 GHz Intel Core i7,1.30 GHz Intel Core i7,3 MB DDR3 SDRAM,SODIMM. 3 MB DDR3 SDRAM,,320 GB,,12 pounds,23.60 x 3.30 x 13.50 inches,"Amazon.com : HP EliteBook 8770w C6Y84UT 17-Inch Notebook (2.4 GHz Intel Core i7-3630QM Processor, 3GB DDR3, 320GB HDD, Windows 7 Professional) Gunmetal : Laptop Computers : Computers & Accessories"
source8__1070,Acer,1.7 GHz Core i5-4210U. Intel,,1.7 GHz Core i5-4210U,1.7 GHz Core i5-4210U,8 GB DDR3L SDRAM,8 GB DDR3L SDRAM,,256 GB,,2.9 pounds,12.72 x 8.78 x 0.51 inches,Amazon.com : Acer Aspire S7-392-5401 13.3-Inch WQHD Touchscreen Ultrabook (Crystal White) : Computers & Accessories
source8__970,Acer,Intel Core i5,,Intel Core i5,Intel Core i5,4 GB,4 GB,,500 GB,,7.8 pounds,,"Amazon.com : Acer Aspire E5-571-588M 15.6"" Notebook Computer, Intel Core i5-4210U 1.7GHz, 4GB RAM, 500GB HDD, Windows 8.1, Midnight Black : Computers & Accessories"
